Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,9,0.73,,"(12, 9)",1
System,2,0,4,0.79,,"(9, 14)",1
System,3,0,1,0.76,Pirates,"(25, 4)",1
System,4,0,10,0.88,,"(1, 7)",1
System,5,0,6,0.8,,"(29, 0)",1
System,6,0,4,0.88,,"(15, 1)",1
System,7,0,7,0.8,,"(37, 7)",1
System,8,0,4,0.82,,"(2, 1)",1
System,9,0,10,0.94,,"(29, 9)",1
System,10,0,7,0.75,,"(16, 11)",1
System,11,0,3,0.93,,"(20, 12)",1
System,12,0,9,0.84,,"(1, 4)",1
System,13,0,2,0.77,,"(25, 12)",1
System,14,0,5,0.75,Pirates,"(27, 2)",1
System,15,0,4,0.76,Pirates,"(8, 4)",1
System,16,0,2,0.82,,"(30, 0)",1
System,17,0,4,0.84,Pirates,"(15, 7)",1
System,18,0,7,0.81,Pirates,"(17, 6)",1
System,19,0,5,0.98,,"(16, 1)",1
System,20,0,6,0.95,Pirates,"(36, 1)",1
System,21,0,5,0.91,,"(31, 13)",1
System,22,0,7,0.83,,"(18, 13)",1
System,23,0,4,0.79,,"(26, 12)",1
System,24,0,8,0.92,Pirates,"(36, 11)",1
System,25,0,1,1.0,,"(15, 2)",1
System,26,0,9,0.76,,"(33, 10)",1
System,27,0,9,0.96,Pirates,"(31, 6)",1
System,28,0,6,0.89,Pirates,"(0, 7)",1
System,29,0,10,0.91,,"(0, 11)",1
System,30,0,8,0.89,,"(24, 13)",1
System,31,0,2,0.72,,"(34, 11)",1
System,32,0,6,0.76,Pirates,"(10, 2)",1
System,33,0,4,0.72,,"(5, 10)",1
System,34,0,5,0.74,,"(14, 11)",1
System,35,0,4,0.83,,"(28, 4)",1
System,36,0,10,0.89,,"(35, 1)",1
System,37,0,6,0.96,Pirates,"(20, 4)",1
System,38,0,2,0.72,,"(22, 3)",1
System,39,0,3,0.92,Pirates,"(12, 4)",1
System,40,0,3,0.88,,"(28, 2)",1
System,41,0,6,0.79,,"(14, 14)",1
System,42,0,2,0.78,,"(3, 2)",1
System,43,0,8,0.9,Pirates,"(27, 8)",1
System,44,0,5,0.93,,"(23, 6)",1
System,45,0,2,0.82,,"(18, 11)",1
System,46,0,8,0.99,,"(30, 11)",1
System,47,0,8,0.75,Pirates,"(33, 7)",1
System,48,0,6,0.92,,"(18, 7)",1
System,49,0,9,0.93,Pirates,"(17, 10)",1
System,50,0,1,0.86,Pirates,"(39, 0)",1
System,51,0,2,0.93,,"(0, 12)",1
System,52,0,3,0.94,Pirates,"(21, 14)",1
System,53,0,10,0.89,Pirates,"(38, 11)",1
System,54,0,7,0.81,,"(20, 9)",1
System,55,0,5,0.83,Pirates,"(3, 8)",1
System,56,0,1,0.71,,"(35, 9)",1
System,57,0,8,0.89,,"(39, 4)",1
System,58,0,9,0.84,Pirates,"(28, 12)",1
System,59,0,8,0.85,,"(35, 3)",1
System,60,0,4,0.77,Pirates,"(26, 8)",1
System,61,0,6,0.81,Pirates,"(19, 13)",1
System,62,0,5,0.97,,"(28, 10)",1
System,63,0,3,0.76,,"(34, 3)",1
System,64,0,10,0.88,,"(20, 5)",1
System,65,0,1,0.89,,"(22, 14)",1
System,66,0,9,0.86,,"(24, 8)",1
System,67,0,3,0.97,Pirates,"(9, 3)",1
System,68,0,1,0.79,,"(26, 13)",1
System,69,0,4,0.89,,"(25, 7)",1
System,70,0,7,1.0,,"(26, 11)",1
System,71,0,2,0.85,,"(20, 10)",1
System,72,0,10,0.8,,"(23, 2)",1
System,73,0,2,0.77,,"(33, 1)",1
System,74,0,7,0.85,,"(21, 4)",1
System,75,250,10,0.5,1,"(8, 0)",1
System,76,0,4,0.92,,"(14, 13)",1
System,77,0,7,0.93,,"(7, 0)",1
System,78,0,7,0.8,,"(10, 1)",1
System,79,0,5,0.87,Pirates,"(6, 4)",1
System,80,0,10,0.8,,"(35, 5)",1
