Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,6,0.95,Pirates,"(34, 10)",1
System,2,0,8,0.91,,"(14, 3)",1
System,3,0,10,0.77,,"(17, 5)",1
System,4,0,8,0.97,,"(4, 1)",1
System,5,0,7,0.7,,"(28, 0)",1
System,6,0,7,0.77,,"(12, 0)",1
System,7,0,3,0.96,,"(37, 5)",1
System,8,0,5,0.72,,"(15, 8)",1
System,9,0,5,0.83,,"(25, 5)",1
System,10,0,10,0.78,,"(7, 14)",1
System,11,0,6,0.76,Pirates,"(15, 0)",1
System,12,0,4,0.9,,"(13, 5)",1
System,13,0,4,0.83,,"(39, 7)",1
System,14,0,3,0.96,,"(8, 11)",1
System,15,0,5,0.96,Pirates,"(3, 5)",1
System,16,0,10,0.97,,"(3, 11)",1
System,17,0,8,0.86,,"(15, 5)",1
System,18,0,5,0.89,,"(26, 8)",1
System,19,0,10,0.85,,"(34, 1)",1
System,20,0,7,0.74,,"(3, 12)",1
System,21,0,1,0.86,Pirates,"(16, 3)",1
System,22,0,2,0.84,,"(5, 6)",1
System,23,0,10,0.71,,"(14, 1)",1
System,24,0,4,0.76,Pirates,"(25, 13)",1
System,25,0,7,0.92,Pirates,"(13, 13)",1
System,26,0,6,0.85,Pirates,"(16, 6)",1
System,27,0,2,0.76,,"(1, 13)",1
System,28,0,8,0.74,,"(35, 7)",1
System,29,0,3,0.94,Pirates,"(7, 0)",1
System,30,0,5,0.92,,"(3, 9)",1
System,31,0,2,0.7,Pirates,"(33, 7)",1
System,32,0,7,0.81,Pirates,"(14, 13)",1
System,33,0,6,0.77,,"(37, 6)",1
System,34,0,9,0.72,,"(15, 11)",1
System,35,0,3,0.78,Pirates,"(29, 12)",1
System,36,0,9,0.87,Pirates,"(20, 7)",1
System,37,0,1,0.97,Pirates,"(4, 13)",1
System,38,0,9,0.86,,"(37, 4)",1
System,39,0,6,0.83,Pirates,"(5, 14)",1
System,40,0,5,0.92,,"(9, 1)",1
System,41,0,2,0.89,Pirates,"(28, 5)",1
System,42,0,7,0.96,,"(7, 8)",1
System,43,0,4,0.73,Pirates,"(35, 3)",1
System,44,0,6,0.94,,"(32, 9)",1
System,45,0,9,0.74,,"(29, 0)",1
System,46,0,7,0.98,,"(27, 10)",1
System,47,0,5,0.77,,"(29, 7)",1
System,48,0,9,0.94,,"(6, 11)",1
System,49,0,2,0.88,,"(28, 13)",1
System,50,0,9,0.77,,"(23, 10)",1
System,51,0,7,0.78,Pirates,"(31, 5)",1
System,52,0,1,0.92,,"(28, 9)",1
System,53,0,3,0.71,,"(19, 8)",1
System,54,0,7,0.87,,"(18, 12)",1
System,55,0,7,0.73,Pirates,"(16, 13)",1
System,56,0,5,0.89,,"(25, 10)",1
System,57,0,2,0.89,,"(39, 6)",1
System,58,0,5,0.83,Pirates,"(0, 1)",1
System,59,0,5,0.79,Pirates,"(1, 12)",1
System,60,0,1,0.83,,"(30, 2)",1
System,61,0,7,0.81,,"(11, 5)",1
System,62,0,9,0.8,Pirates,"(23, 13)",1
System,63,0,9,0.86,,"(12, 13)",1
System,64,0,1,0.93,,"(13, 7)",1
System,65,0,3,0.81,,"(16, 7)",1
System,66,0,10,0.76,Pirates,"(5, 12)",1
System,67,0,1,0.94,,"(26, 4)",1
System,68,0,3,0.7,,"(28, 11)",1
System,69,0,6,0.8,,"(35, 1)",1
System,70,0,10,0.89,,"(31, 7)",1
System,71,0,2,0.82,,"(15, 12)",1
System,72,0,7,0.78,,"(35, 0)",1
System,73,0,6,0.72,Pirates,"(23, 5)",1
System,74,0,10,0.77,,"(11, 1)",1
System,75,0,6,0.83,,"(36, 13)",1
System,76,0,10,0.93,,"(32, 11)",1
System,77,0,4,0.86,,"(10, 4)",1
System,78,0,9,0.87,Pirates,"(29, 8)",1
System,79,0,5,0.93,,"(38, 0)",1
System,80,0,7,1.0,,"(7, 3)",1
