Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,8,0.93,,"(29, 1)",1
System,2,0,10,0.83,,"(15, 2)",1
System,3,0,1,0.87,,"(15, 4)",1
System,4,0,6,0.98,Pirates,"(11, 12)",1
System,5,0,5,0.91,,"(3, 11)",1
System,6,250,10,0.5,22,"(31, 11)",1
System,7,0,6,0.9,Pirates,"(8, 0)",1
System,8,0,7,0.94,,"(28, 5)",1
System,9,0,6,0.97,Pirates,"(38, 3)",1
System,10,0,9,0.82,Pirates,"(17, 9)",1
System,11,0,1,0.79,,"(18, 6)",1
System,12,0,4,0.99,Pirates,"(19, 1)",1
System,13,0,8,0.84,Pirates,"(31, 10)",1
System,14,0,10,0.9,,"(5, 11)",1
System,15,0,1,0.86,,"(16, 0)",1
System,16,0,2,0.76,,"(21, 4)",1
System,17,0,2,0.73,,"(26, 2)",1
System,18,0,9,0.72,,"(25, 2)",1
System,19,0,10,0.79,Pirates,"(33, 9)",1
System,20,0,10,0.99,,"(23, 7)",1
System,21,0,9,0.92,,"(35, 3)",1
System,22,0,1,0.74,,"(1, 9)",1
System,23,0,10,0.99,Pirates,"(26, 4)",1
System,24,0,9,0.99,,"(8, 11)",1
System,25,0,7,0.81,,"(27, 13)",1
System,26,0,4,0.96,,"(7, 11)",1
System,27,0,8,0.8,,"(27, 2)",1
System,28,0,3,0.92,,"(7, 5)",1
System,29,0,10,0.9,,"(27, 5)",1
System,30,0,3,0.75,,"(4, 5)",1
System,31,0,9,0.7,,"(10, 13)",1
System,32,0,6,0.74,,"(5, 5)",1
System,33,0,2,0.99,,"(8, 5)",1
System,34,0,8,0.89,Pirates,"(21, 13)",1
System,35,0,2,0.97,,"(4, 10)",1
System,36,0,9,0.79,Pirates,"(21, 14)",1
System,37,0,10,0.73,,"(4, 1)",1
System,38,0,6,0.83,,"(25, 6)",1
System,39,0,10,0.72,,"(31, 12)",1
System,40,0,5,0.8,,"(39, 14)",1
System,41,0,5,0.95,Pirates,"(4, 3)",1
System,42,0,7,0.92,Pirates,"(12, 1)",1
System,43,0,6,0.79,Pirates,"(10, 2)",1
System,44,0,9,1.0,,"(10, 7)",1
System,45,0,4,0.89,,"(35, 1)",1
System,46,0,5,0.73,,"(23, 0)",1
System,47,0,1,0.98,,"(10, 5)",1
System,48,0,10,0.83,,"(7, 1)",1
System,49,0,1,0.75,,"(23, 2)",1
System,50,0,9,0.97,Pirates,"(20, 12)",1
System,51,0,1,0.82,Pirates,"(21, 12)",1
System,52,0,10,0.8,,"(25, 12)",1
System,53,0,10,0.88,,"(24, 7)",1
System,54,0,7,0.82,,"(28, 8)",1
System,55,0,7,0.97,Pirates,"(12, 4)",1
System,56,0,10,0.88,,"(13, 8)",1
System,57,0,10,0.88,Pirates,"(13, 13)",1
System,58,0,8,0.85,Pirates,"(9, 6)",1
System,59,0,9,0.85,Pirates,"(39, 1)",1
System,60,0,6,0.79,,"(9, 14)",1
System,61,0,9,0.98,,"(0, 5)",1
System,62,0,3,0.72,Pirates,"(5, 10)",1
System,63,0,2,0.76,Pirates,"(33, 4)",1
System,64,0,2,0.72,Pirates,"(10, 12)",1
System,65,0,1,0.88,,"(7, 14)",1
System,66,0,8,0.94,Pirates,"(34, 10)",1
System,67,0,8,0.7,Pirates,"(6, 4)",1
System,68,0,3,0.82,,"(9, 7)",1
System,69,0,6,0.78,,"(39, 12)",1
System,70,0,7,0.72,,"(39, 8)",1
System,71,0,9,0.85,,"(37, 13)",1
System,72,0,4,1.0,,"(38, 10)",1
System,73,0,7,0.94,,"(12, 10)",1
System,74,0,3,0.99,Pirates,"(30, 8)",1
System,75,0,5,0.75,,"(8, 7)",1
System,76,0,9,0.9,Pirates,"(26, 3)",1
System,77,0,2,0.93,,"(29, 8)",1
System,78,0,6,0.87,Pirates,"(12, 9)",1
System,79,0,6,0.82,,"(1, 14)",1
System,80,0,4,0.92,,"(24, 8)",1
