Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,2,0.77,Pirates,"(13, 10)",1
System,2,0,7,0.87,Pirates,"(24, 6)",1
System,3,0,1,0.91,Pirates,"(25, 9)",1
System,4,0,5,0.93,Pirates,"(30, 1)",1
System,5,0,4,0.97,,"(10, 3)",1
System,6,0,4,0.76,,"(0, 1)",1
System,7,0,3,0.78,,"(37, 14)",1
System,8,0,1,0.8,,"(34, 8)",1
System,9,0,3,0.73,,"(2, 11)",1
System,10,0,10,0.78,,"(33, 10)",1
System,11,0,2,0.97,,"(28, 1)",1
System,12,0,6,0.87,,"(28, 2)",1
System,13,0,3,0.95,,"(34, 5)",1
System,14,0,3,0.77,,"(19, 13)",1
System,15,0,5,0.74,,"(15, 0)",1
System,16,0,8,0.99,,"(12, 6)",1
System,17,250,10,0.5,1,"(13, 3)",1
System,18,0,6,0.74,,"(35, 0)",1
System,19,0,1,0.8,,"(22, 9)",1
System,20,0,5,0.87,,"(35, 2)",1
System,21,0,3,0.81,Pirates,"(28, 7)",1
System,22,0,1,0.87,Pirates,"(17, 1)",1
System,23,0,3,0.9,Pirates,"(22, 11)",1
System,24,0,8,0.89,,"(13, 14)",1
System,25,0,10,0.98,Pirates,"(9, 4)",1
System,26,0,9,0.79,Pirates,"(6, 12)",1
System,27,0,4,0.83,,"(6, 1)",1
System,28,0,10,0.76,,"(26, 2)",1
System,29,0,8,1.0,,"(14, 0)",1
System,30,0,1,0.76,Pirates,"(5, 11)",1
System,31,0,6,0.84,,"(25, 11)",1
System,32,0,7,0.98,,"(10, 2)",1
System,33,0,8,0.83,,"(2, 10)",1
System,34,0,7,0.83,Pirates,"(14, 14)",1
System,35,0,4,0.84,,"(37, 4)",1
System,36,0,7,0.97,Pirates,"(31, 1)",1
System,37,0,10,0.99,,"(11, 6)",1
System,38,0,10,0.84,,"(39, 3)",1
System,39,0,1,0.74,Pirates,"(25, 12)",1
System,40,0,7,0.73,Pirates,"(10, 10)",1
System,41,0,1,0.85,Pirates,"(16, 6)",1
System,42,0,3,0.99,Pirates,"(3, 12)",1
System,43,0,10,0.97,Pirates,"(20, 9)",1
System,44,0,3,0.97,Pirates,"(13, 4)",1
System,45,0,2,0.87,,"(1, 0)",1
System,46,0,3,0.98,Pirates,"(31, 12)",1
System,47,0,9,0.83,Pirates,"(13, 12)",1
System,48,0,5,0.9,,"(19, 5)",1
System,49,0,7,0.79,Pirates,"(31, 4)",1
System,50,0,10,0.82,,"(1, 1)",1
System,51,0,3,0.95,,"(27, 8)",1
System,52,0,9,0.87,Pirates,"(3, 2)",1
System,53,0,1,0.89,,"(17, 4)",1
System,54,0,7,0.91,,"(22, 6)",1
System,55,0,6,0.91,,"(18, 10)",1
System,56,0,10,0.71,,"(39, 0)",1
System,57,0,7,0.96,,"(3, 10)",1
System,58,0,8,0.83,,"(22, 3)",1
System,59,0,3,0.97,,"(4, 7)",1
System,60,0,3,0.92,,"(8, 8)",1
System,61,0,9,0.75,,"(21, 9)",1
System,62,0,5,0.75,,"(14, 12)",1
System,63,0,3,0.96,,"(39, 13)",1
System,64,0,8,0.99,,"(17, 10)",1
System,65,0,5,0.81,,"(7, 7)",1
System,66,0,6,0.91,,"(10, 8)",1
System,67,0,6,0.76,Pirates,"(6, 3)",1
System,68,0,6,0.97,,"(29, 6)",1
System,69,0,4,0.83,Pirates,"(21, 0)",1
System,70,0,8,0.93,Pirates,"(18, 7)",1
System,71,0,5,0.7,Pirates,"(11, 10)",1
System,72,0,8,0.88,,"(37, 2)",1
System,73,0,1,0.96,,"(14, 7)",1
System,74,0,5,0.77,,"(6, 4)",1
System,75,0,3,0.8,,"(34, 3)",1
System,76,0,2,0.86,Pirates,"(5, 0)",1
System,77,0,8,0.71,,"(10, 7)",1
System,78,0,4,0.95,,"(22, 0)",1
System,79,0,5,0.71,Pirates,"(6, 13)",1
System,80,0,5,0.86,,"(3, 14)",1
