Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,1,1,0.86,Pirates,"(35, 3)",2
System,2,1,1,0.77,Pirates,"(11, 0)",2
System,3,0,3,0.93,,"(9, 11)",2
System,4,60,10,0.5,1,"(22, 5)",2
System,5,0,6,0.72,,"(33, 0)",2
System,6,0,4,0.72,,"(37, 12)",2
System,7,0,3,1.0,,"(34, 13)",2
System,8,9,9,0.79,Pirates,"(14, 14)",2
System,9,0,4,0.91,,"(15, 14)",2
System,10,0,4,0.94,,"(24, 3)",2
System,11,0,2,0.95,,"(17, 12)",2
System,12,0,4,0.98,,"(3, 9)",2
System,13,0,5,0.74,,"(38, 14)",2
System,14,0,8,0.77,,"(26, 3)",2
System,15,9,9,0.78,Pirates,"(21, 7)",2
System,16,2,2,0.94,Pirates,"(15, 4)",2
System,17,0,8,0.93,,"(27, 7)",2
System,18,0,7,0.78,,"(34, 7)",2
System,19,0,4,0.8,,"(28, 0)",2
System,20,0,2,0.82,,"(16, 2)",2
System,21,0,9,0.97,,"(28, 3)",2
System,22,7,7,0.78,Pirates,"(37, 9)",2
System,23,0,9,0.73,,"(39, 11)",2
System,24,0,1,0.93,,"(27, 13)",2
System,25,0,2,0.78,,"(25, 3)",2
System,26,0,9,0.74,,"(2, 12)",2
System,27,0,5,0.72,,"(35, 0)",2
System,28,0,3,0.79,,"(21, 5)",2
System,29,0,5,0.91,,"(13, 10)",2
System,30,0,9,0.8,,"(35, 5)",2
System,31,0,6,0.71,,"(9, 8)",2
System,32,0,6,0.72,,"(9, 7)",2
System,33,0,10,0.78,,"(25, 2)",2
System,34,0,5,0.98,,"(30, 8)",2
System,35,0,7,0.72,,"(33, 11)",2
System,36,0,2,0.92,,"(37, 0)",2
System,37,10,10,0.5,2,"(39, 3)",2
System,38,5,5,0.7,Pirates,"(34, 14)",2
System,39,0,10,0.89,,"(18, 10)",2
System,40,0,7,0.98,,"(21, 4)",2
System,41,0,3,0.98,,"(14, 6)",2
System,42,0,5,0.94,,"(2, 2)",2
System,43,0,7,0.77,,"(11, 10)",2
System,44,0,5,0.76,,"(35, 7)",2
System,45,0,6,0.82,,"(16, 11)",2
System,46,0,4,0.71,,"(7, 2)",2
System,47,0,5,0.81,,"(18, 7)",2
System,48,0,5,0.96,,"(10, 5)",2
System,49,0,2,0.9,,"(26, 0)",2
System,50,0,7,0.97,,"(32, 5)",2
System,51,0,10,0.77,,"(16, 12)",2
System,52,1,1,0.96,Pirates,"(16, 0)",2
System,53,0,7,0.74,,"(7, 3)",2
System,54,0,10,0.75,,"(14, 1)",2
System,55,0,2,0.77,,"(35, 9)",2
System,56,0,9,0.87,,"(0, 13)",2
System,57,6,6,0.96,Pirates,"(4, 6)",2
System,58,0,3,0.85,,"(21, 0)",2
System,59,10,10,0.96,Pirates,"(31, 11)",2
System,60,7,7,0.85,Pirates,"(25, 13)",2
System,61,0,8,0.75,,"(13, 3)",2
System,62,9,9,0.74,Pirates,"(30, 4)",2
System,63,0,3,0.76,,"(22, 11)",2
System,64,9,9,0.87,Pirates,"(17, 11)",2
System,65,0,1,0.87,,"(39, 4)",2
System,66,0,4,0.72,,"(9, 0)",2
System,67,0,5,0.94,,"(0, 14)",2
System,68,0,8,0.91,,"(28, 1)",2
System,69,0,4,0.89,,"(1, 10)",2
System,70,0,1,0.77,,"(33, 12)",2
System,71,7,7,0.97,Pirates,"(17, 0)",2
System,72,0,7,0.9,,"(32, 8)",2
System,73,4,4,0.78,Pirates,"(30, 0)",2
System,74,0,3,0.98,,"(26, 7)",2
System,75,0,9,0.96,,"(2, 10)",2
System,76,10,10,0.74,Pirates,"(38, 8)",2
System,77,6,6,0.8,Pirates,"(36, 7)",2
System,78,0,2,0.92,,"(39, 2)",2
System,79,0,2,0.89,,"(37, 10)",2
System,80,0,2,0.74,,"(29, 10)",2
